Player,Pos,3P,TRB,BLK
Allen Crabbe,SG,1.7,2.9,0.3
Ian Mahinmi,C,0.0,4.8,0.8
Victor Oladipo,SG,1.9,4.3,0.3
Austin Rivers,SG,1.5,2.2,0.1
Jordan Crawford,SG,1.9,1.8,0.1
Jodie Meeks,SG,1.6,2.1,0.1
Channing Frye,C,1.9,3.9,0.5
Manu Ginobili,SG,1.3,2.3,0.2
Tarik Black,C,0.0,5.1,0.7
Avery Bradley,SG,2.0,6.1,0.2
Justin Hamilton,C,0.9,4.1,0.7
Pau Gasol,C,0.9,7.8,1.1
J.R. Smith,SG,2.3,2.8,0.3
DeMarcus Cousins,C,1.8,11.0,1.3
Bismack Biyombo,C,0.0,7.0,1.1
Tristan Thompson,C,0.0,9.2,1.1
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Salah Mejri,C,0.0,4.2,0.8
Buddy Hield,SG,1.8,3.3,0.1
Jonas Valanciunas,C,0.0,9.5,0.8
Edy Tavares,C,0.0,5.5,3.0
Tim Hardaway,SG,1.9,2.8,0.2
Denzel Valentine,SG,1.3,2.6,0.1
Dewayne Dedmon,C,0.0,6.5,0.8
Frank Kaminsky,C,1.5,4.5,0.5
Robin Lopez,C,0.0,6.4,1.4
Willie Cauley-Stein,C,0.0,4.5,0.6
Nikola Vucevic,C,0.3,10.4,1.0
Al Horford,C,1.3,6.8,1.3
Eric Gordon,SG,3.3,2.7,0.5
J.J. Redick,SG,2.6,2.2,0.2
Karl-Anthony Towns,C,1.2,12.3,1.3
Marcin Gortat,C,0.0,10.4,0.7
Nicolas Batum,SG,1.8,6.2,0.4
Chris Andersen,C,0.0,2.6,0.6
Jamal Murray,SG,1.4,2.6,0.3
Marreese Speights,C,1.3,4.5,0.5
Courtney Lee,SG,1.4,3.4,0.3
Timofey Mozgov,C,0.0,4.9,0.6
Hassan Whiteside,C,0.0,14.1,2.1
Marcus Smart,SG,1.2,3.9,0.4
Andre Drummond,C,0.0,13.8,1.1
Klay Thompson,SG,3.4,3.7,0.5
Dwight Howard,C,0.0,12.7,1.2
Mason Plumlee,C,0.0,7.5,1.1
Jason Smith,C,0.5,3.5,0.7
Brook Lopez,C,1.8,5.4,1.7
Clint Capela,C,0.0,8.1,1.2
Marco Belinelli,SG,1.4,2.4,0.1
Anthony Davis,C,0.5,11.8,2.2
John Henson,C,0.0,5.1,1.3
Willie Reed,C,0.0,4.7,0.7
Joe Harris,SG,1.6,2.8,0.2
Gary Harris,SG,1.9,3.1,0.1
Nikola Jokic,C,0.6,9.8,0.8
E'Twaun Moore,SG,1.1,2.1,0.4
Andrew Bogut,C,0.0,8.1,0.9
Jamal Crawford,SG,1.4,1.6,0.2
DeAndre Jordan,C,0.0,13.8,1.7
Myles Turner,C,0.5,7.3,2.1
Wesley Matthews,SG,2.4,3.5,0.2
Garrett Temple,SG,1.3,2.8,0.4
Alex Abrines,SG,1.4,1.3,0.1
Dwyane Wade,SG,0.8,4.5,0.7
Zach LaVine,SG,2.6,3.4,0.2
Lou Williams,SG,2.0,2.5,0.2
Will Barton,SG,1.5,4.3,0.5
Joel Embiid,C,1.2,7.8,2.5
Richaun Holmes,C,0.5,5.5,1.0
Montrezl Harrell,C,0.0,3.8,0.7
Tony Snell,SG,1.8,3.1,0.2
Alex Len,C,0.0,6.6,1.3
Steven Adams,C,0.0,7.7,1.0
Kyle Korver,SG,2.4,2.8,0.3
C.J. McCollum,SG,2.3,3.6,0.5
Troy Daniels,SG,2.1,1.5,0.1
Marc Gasol,C,1.4,6.3,1.3
Nene Hilario,C,0.0,4.2,0.6
Dion Waiters,SG,1.8,3.3,0.4
Jordan Clarkson,SG,1.4,3.0,0.1
